ID|Name|Description|Brand|Category|Link|ImageLink|Price|SalePrice|Availability|Rating|ReleaseDate
2808|Assorted 1-Inch Gumballs: 850-Piece Case|"<br><p id=""longDescription""></p> <div>Yummy bubble gum gumballs in an assortment of 8 fresh and fruity flavors:<br><b>Blueberry, Strawberry, Banana, Grape, Cherry, Lime, Pineapple, and Orange.</b><br> The most popular gumball for 25 cent vending machines!<br><br><b>Gumball Diameter:</b> 1 Inch<br><br> Case contains 850 pieces of Gumballs Candy in Assorted Colors.<br><br> Made in Canada.<br><br> Shipping Weight ~ 16 lbs. Kosher Certified.</div>"|Canary|Bubble Gum Gumballs|http://canary.dev/products/2808|http://www.candywarehouse.com//assets/item/regular/image-125056.jpg|49.5||Y|4|1987-09-02 02:04:52
2809|Assorted Colors 1-1/8-Inch Gumballs: 600-Piece Case|"<br><p id=""longDescription""></p> <div>Tender, chewy spheres in a rainbow of colors!<br><br><b>Gumball Diameter:</b> 1 1/8 Inch<br><br> Unit Price = $0.10/gumball.<br><br> Case contains 600 Assorted Colors Gumballs.<br><br> Made in Canada.<br><br> Shipping Weight ~ 19 lbs.</div>"|Canary|Bubble Gum Gumballs|http://canary.dev/products/2809|http://www.candywarehouse.com//assets/item/regular/gumballs-125006.jpg|60.0||Y|1|1983-03-21 17:46:54
2383|Assorted Colors 1/2-Inch Gumballs: 53-Ounce Tub|"<br><p id=""longDescription""></p> <div> <b>SALE: 33% OFF!</b><br><br> Perfect for filling gumball machines, this assortment of Dubble Bubble gumballs includes eight fabulous colors and flavors: Strawberry, Pineapple, Blueberry, Lemon-Lime, Orange, Cherry, Banana, and Grape.<br><br><b>Gumball Diameter:</b> 1/2 Inch<br><br> Tub contains 53 ounces of Assorted Gumballs...about 675 pieces.<br><br> Shipping Weight ~ 5 lbs. Made in Canada.</div>"|Canary|Bubble Gum Gumballs|http://canary.dev/products/2383|http://www.candywarehouse.com//assets/item/regular/image-125003.jpg|18.0|12.0|Y|1|1983-03-01 03:45:06
2805|Assorted Colors 1/2-Inch Gumballs: 5800-Piece Case|"<br><p id=""longDescription""></p> <div>GUMBALLS! Keep your machine filled with yummy, fresh gumballs in an assortment of 8 fabulous flavors:<br><strong>Strawberry</strong><br><strong>Pineapple</strong><br><strong>Blueberry</strong><br><strong>Lemon-Lime</strong><br><strong>Orange</strong><br><strong>Cherry</strong><br><strong>Banana</strong><br><strong>Grape</strong><br><br><b>Gumball Diameter:</b> 1/2 Inch<br><br> Case contains 5,800 Assorted Colors Gumballs.<br><br> Made in Canada.<br><br> Shipping Weight ~ 22 lbs.</div>"|Canary|Bubble Gum Gumballs|http://canary.dev/products/2805|http://www.candywarehouse.com//assets/item/regular/Gumballs-ff-126907.jpg|69.5||Y|4|1988-07-29 10:32:44
2807|Assorted Colors 3/4-Inch Gumballs: 1900-Piece Case|"<br><p id=""longDescription"">Chomp on these yummy gumballs for a bubble-blowing bonanza!<br><br><b>Gumball Diameter:</b> 3/4 Inch<br><br>Case contains 1,900 Assorted Colors Gumballs.<br><br>Made in Canada.<br><br>Shipping Weight ~ 18 lbs.</p>"|Canary|Bubble Gum Gumballs|http://canary.dev/products/2807|http://www.candywarehouse.com//assets/item/regular/gumballs-128170.jpg|59.5||Y|2|1978-09-22 21:14:41
2804|Assorted Colors 3/8-Inch Gumballs: 8500-Piece Case|"<br><p id=""longDescription""></p> <div>Teensy, baby gumballs that will make you smile with their sweet flavors!<br><br><b>Gumball Diameter:</b> 3/8 Inch<br><br> Unit Price = $0.01/gumball.<br><br> Case contains 8,500 Assorted Colors Gumballs.<br><br> Made in Canada.<br><br> Shipping Weight ~ 25 lbs.</div>"|Canary|Bubble Gum Gumballs|http://canary.dev/products/2804|http://www.candywarehouse.com//assets/item/regular/gumballs-126908.jpg|85.0||Y|5|2007-07-10 12:44:11
2806|Assorted Colors 5/8-Inch Gumballs: 3650-Piece Case|"<br><p id=""longDescription"">Work out with bubblegum .... chew a few thousand of these colorful gumballs to develop a nice tone in your jaw muscles!<br><br><b>Gumball Diameter:</b> 5/8 Inch<br><br>Case includes 3,650 Assorted Colors Gumballs.<br><br>Made in Canada.<br><br>Shipping Weight ~ 19 lbs.</p>"|Canary|Bubble Gum Gumballs|http://canary.dev/products/2806|http://www.candywarehouse.com//assets/item/regular/gumballs-128168.jpg|59.5||Y|2|1992-03-09 06:05:23
2746|Assorted Colors All Natural Swirl Lollipops: 12-Piece Pack|"<br><p id=""longDescription""></p> <div>Strawberry pops, made from all-natural ingredients, featuring a bright rainbow of swirling candy patterns. These treats taste as good as they look!<br><br><b>Sucker Specifications-</b><br> Net Weight: 2 Ounces<br> Diameter: 3 Inches<br> Total Length: 12 Inches<br><br> Unit Price = $3.50/lollipop.<br><br> Package contains 12 Assorted Colors All Natural Strawberry Swirl Lollipops. Handmade in the USA.<br><br> Shipping Weight ~ 5 lbs.<br><br><b>ATTENTION:</b> These suckers are handmade by people. Swirl shape and candy color shade may vary by manufacturing batch.</div>"|Canary|All Natural & Organic Candy|http://canary.dev/products/2746|http://www.candywarehouse.com//assets/item/regular/image-130385.jpg|42.0||Y|3|1973-08-18 02:03:01
2540|Assorted Gourmet Salt Water Taffy: 5LB Bag|"<br><p id=""longDescription""></p> <div>Terrific gourmet taffy in an assortment of flavors, colors, and swirls!<br><br> There are approximately 65 pieces per pound.<br><br> Unit Price = $3.90/lb.<br><br> Bag contains 5 pounds of Gourmet Salt Water Taffy Candy.<br> Made in the USA.<br><br> Shipping Weight ~ 6 lbs. Kosher Certified.<br><br><b>DISCLAIMER:</b> The ""Assorted"" flavor selection does NOT include every flavor available. It is a medley of the most popular 25 flavors.</div>"|Canary|Taffy|http://canary.dev/products/2540|http://www.candywarehouse.com//assets/item/regular/image-127422.jpg|19.5||Y|2|1985-08-08 10:34:31
2505|Assorted Nonpareils Candy: 8LB Box|"<br><p id=""longDescription"">Tiny candy beads in a rainbow of assorted colors!<br><br>Unit Price = $4.90/lb.<br><br>Box contains 8 pounds of Assorted Nonpareils Candy.<br><br>Shipping Weight ~ 9 lbs.</p>"|Canary|Powder & Particle Candy|http://canary.dev/products/2505|http://www.candywarehouse.com//assets/item/regular/image-128854.jpg|39.2||Y|2|1970-11-24 15:27:06
2508|Assorted Rainbow Color Rock Candy Nuggets: 4LB Tub|"<br><p id=""longDescription""></p> <div>A CandyWarehouse.com EXCLUSIVE!<br><br> Chunky candy particles in a rainbow of colors and fruity flavors! Perfect for party candy bowls or as a decorative topping on cookies, cakes, and ice cream. These sweet pebbles are like chewy Nerds candies. Absolutely delicious!<br><br> Unit Price = $6.00/lb.<br><br> Tub contains 4 pounds of Assorted Rainbow Colored Fruity Rock Candy Nuggets. Made in the USA.<br><br> Shipping Weight ~ 5 lbs.</div>"|Canary|Rock Candy & Sugar Swizzle Sticks|http://canary.dev/products/2508|http://www.candywarehouse.com//assets/item/regular/image-125066.jpg|24.0||Y|2|1984-05-12 10:43:29
2507|Assorted Rock Candy Crystals: 5LB Bag|"<br><p id=""longDescription""></p> <div>Yummy rock candy crystals! Rock candy is a very simple hard candy made by allowing a supersaturated sugar syrup to evaporate slowly (sometimes for up to a week), during which time the sugar crystallizes into chunks...crystalline rock candy. Assortment comes with the following flavors and colors:<b><br> Amber<br> Natural Sugar - Clear<br> Blue Raspberry - Blue<br> Lime - Green<br> Cherry - Pink<br> Grape - Purple<br> Lemon - Yellow<br> Orange - Orange<br> Strawberry - Red</b><br><br> Unit Price = $5.90/lb.<br><br> Bag contains 5 pounds of Assorted Rock Candy Crystals.<br> Made in the USA.<br><br> Shipping Weight ~ 6 lbs. Kosher Certified.</div>"|Canary|Powder & Particle Candy|http://canary.dev/products/2507|http://www.candywarehouse.com//assets/item/regular/rock-candy-crystals-assorted-127495.jpg|29.5||Y|5|2013-07-21 19:00:58
2303|Assorted Rods Hard Candy: 5LB Bag|"<br><p id=""longDescription""></p> <div>Long and sleek, these wrapped hard candy rods, each about 1-1/2 inch long, offer a fabulous selection of yummy flavors:<br><b>Sour Cherry, Apple, Butterscotch, Peppermint, Tangerine, Strawberry, Pineapple, Licorice, Wild Cherry, and Lemon.</b><br><br> There are approximately 90 pieces per pound.<br><b>Rod Length:</b> 1 1/2 Inches<br><br> Unit Price = $3.90/lb.<br><br> Bag contains 5 pounds of Assorted Rods Hard Candy.<br> Made in the USA.<br><br> Shipping Weight ~ 6 lbs. Kosher Certified.</div>"|Canary|Bulk Wrapped Candy|http://canary.dev/products/2303|http://www.candywarehouse.com//assets/item/regular/hard-candy-rods-127427.jpg|19.5||Y|3|1988-10-03 02:15:36
2541|Assorted Salt Water Taffy Candy: 3LB Bag|"<br><p id=""longDescription""></p> <div>Delicious and chewy candy treats that will entangle your taste buds in sweet delight. And because this is a whipped taffy, it won't stick to your teeth or dental work.... no trips to the dentist to replace fillings or crowns!<br><br> There are approximately 65 pieces per pound.<br><br><b>10-Flavor Assortment</b> includes: Blue Raspberry, Caramel Apple, Chocolate, Cinnamon, Black Licorice, Neapolitan, Orange/Vanilla, Peppermint, Rum and Strawberry/Banana.<br><br> Unit Price = $3.30/lb.<br><br> Bag contains 3 pounds of Salt Water Taffy Candy.<br> Made in the USA.<br><br> Shipping Weight ~ 4 lbs. Kosher Certified.</div>"|Canary|Taffy|http://canary.dev/products/2541|http://www.candywarehouse.com//assets/item/regular/assorted-salt-water-taffy-126904.jpg|9.9||Y|4|1989-08-13 07:04:00
2614|Assorted Swedish Fish King Size Packs: 12-Piece Box|"<br><p id=""longDescription""></p> <div>Yummy candy sea creatures from Sweden!<br><br> Unit Price = $2.00/pack.<br><br> Display box contains 12 Swedish Fish Candy Concession Packs, each with a net weight of 3.5 ounces.<br><br> Shipping Weight ~ 3 lbs.</div>"|Canary|Theater / King Size Candy Packs|http://canary.dev/products/2614|http://www.candywarehouse.com//assets/item/regular/image-125068.jpg|24.0||Y|2|1975-04-28 14:50:21
2572|Astro World's Largest Gummy Bear Gift Box|"<br><p id=""longDescription""></p> <div>Soft, chewy and pudgy, just like a real bear, this 4.5-pound gummy giant features three layers of color and flavor:<br><b>Red - Cherry<br> Yellow - Lemon<br> Green - Lime</b><br><br> The World’s Largest Non-Gummy Bear was a polar bear weighing in at over 2,200 pounds. Due to some concerns regarding shipping logistics and potential ant infestation, the gummy variety is a tad smaller. Nonetheless, Astro is 12,600 calories of cherry, lemon and lime flavor. That’s more than six days of caloric intake at the standard US Recommended Daily Allowance (although the USRDA probably isn’t in love with the idea of eating nothing but sugar for six days). Impress all your friends, intimidate all your enemies. Own the king of the gummy castle.<br><br> •The World's Largest Gummy Bears!™ are over 1,000 times larger than a regular gummy bear!<br> •These giant gummy bears have a whopping 12,600 calories!<br> •Over 90 servings per bear.<br> •BIGGER than a FOOTBALL!<br> •He is truly the ""World's largest edible gummy bear made for retail distribution World-Wide!""<br> •Hand made by gummy artisans in the USA with the best ingredients.<br> •Gluten-free<br><br> Shipping Weight ~ 6 lbs.</div>"|Canary|Giant Candy|http://canary.dev/products/2572|http://www.candywarehouse.com//assets/item/regular/image-125072.jpg|39.5||Y|1|2009-02-12 10:19:11
2490|Bailey's Irish Cream Liquor Filled Chocolates: 72-Piece Box|"<br><p id=""longDescription"">Serve up sophistication. Delight friends and family with Bailey's Irish Cream liquor filled chocolates! Smooth. Delicious. Unmistakably Baileys.<br><br>Unit Price = $0.50/piece.<br><br>Display box contains 72 pieces of twist wrapped Bailey's Irish Cream Liqueur Chocolates.<br><br>Shipping Weight ~ 4 lbs.</p>"|Canary|Metallic Foil Wrapped Chocolates|http://canary.dev/products/2490|http://www.candywarehouse.com//assets/item/regular/baileys-irish-cream-chocolates.jpg|36.0||Y|4|2004-09-02 03:29:34
2548|Banana Salt Water Taffy: 3LB Bag|"<br><p id=""longDescription""></p> <div>Delicious banana flavored salt water taffy!<br><br> There are about 65 pieces per pound.<br><br> Unit Price = $3.30/lb.<br><br> Bag contains 3 pounds of Yellow Banana Salt Water Taffy Candy.<br> Made in the USA.<br><br> Shipping Weight ~ 4 lbs. Kosher Certified.</div>"|Canary|Taffy|http://canary.dev/products/2548|http://www.candywarehouse.com//assets/item/regular/taffy-yellow-banana-130665-ic.jpg|9.9||Y|4|2005-12-21 00:59:29
2712|Banana Sassy Spheres Yellow Striped Candy Balls: 5LB Bag|"<br><p id=""longDescription""></p> <div>Expertly curving outward from swirly points on either side, lines that wrap across each individually wrapped yellow Sassy Sphere make these delightful sweets look like striped balloons inflated to full capacity like the ones you see at the circus and county fair. Plucky and adorable, these vibrant yellow and white confections taste just as good as they look. Bright and tiny, each ball is full of fruity banana flavor that promises to perk up your taste buds and refresh your palate. Fill up a candy bowl with these jolly spheres any time of year and prepare to impress your guests.<br><br> There are approximately 50 pieces per pound.<br><br><strong>Ball Specifications-</strong><br> Diameter: 1 Inch<br> Net Weight: 10 Grams<br> Flavor: Banana<br><br> Unit Price = $3.90/lb.<br><br> Bag contains 5 pounds of Yellow Sassy Spheres Striped Candy Balls.<br><br> Shipping Weight ~ 6 lbs.</div>"|Canary|Hard Candy|http://canary.dev/products/2712|http://www.candywarehouse.com//assets/item/regular/sassy-spheres-yellow-131522-im1.jpg|19.5||Y|2|1988-11-19 05:08:00
2567|Banana Sassy Spheres Yellow Striped Petite Candy Balls: 5LB Bag|"<br><p id=""longDescription""></p> <div>The celestial body Pluto appears bright in our night sky because its icy surface reflects the sun’s rays. Most of us at CandyWarehouse grew up learning that Pluto was the ninth planet in our solar system. In 2006, that all changed. Because of its small stature in relations to its siblings Jupiter, Venus, Saturn and so forth, Pluto’s prime planet status was revoked by scientists and it was sent down to the dwarf planet class where it dwells among over 40 other similarly-sized known galaxy objects. We love tiny things with big impacts around here, and that’s why we’re over the moon about these Petite Striped Candy Balls. These itty bitty confections are big tasty beauties decorated with perfectly rendered yellow and white stripes and a fabulous banana flavor. Pluto’s surface is believed to be rocky, unlike these super smooth yellow and white baby balls. Individually wrapped for freshness, these fruity balls shine brightly in our sugary inventory. We recommend filling up a bowl and snacking on them one by one will you stargaze tonight! <br><br> There are approximately 150 pieces per pound.<br><br><strong>Ball Specifications-</strong><br> Diameter: 1/2 Inch<br> Net Weight: 3 Grams<br> Flavor: Banana<br><br> Unit Price = $3.90/lb.<br><br> Bag contains 5 pounds of Yellow Sassy Spheres Petite Striped Candy Balls.<br><br> Shipping Weight ~ 6 lbs.</div>"|Canary|Hard Candy|http://canary.dev/products/2567|http://www.candywarehouse.com//assets/item/regular/sassy-spheres-petite-yellow-131514-im.jpg|19.5||Y|2|2001-01-26 21:44:43
